rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,3-Jan,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season
796,Maximilian Eggestein,Germany,MF,Freiburg,Bundesliga,26,1996,33,2914,1,2,3,1,0,2.4,2.4,42,162,0.03,0.06,49,24,41.7,19,34,28,40,1,0,0,0,0,0,0,0,1080,1330,81.2,5068,86.4,88.5,67.1,25,103,20,71,37,54.1,37.8,42,41,3,19,1,39,20.5,0.25,0.03,0.13,54.3,2.29,0.09,0,2023-2024
797,Lilian Egloff,Germany,MF,Stuttgart,Bundesliga,20,2002,5,106,0,0,0,0,0,0.2,0.2,2,2,0,0,4,1,50,1,2,1,0,0,0,0,0,0,0,0,0,32,41,78,131,94.1,73.3,50,0,2,0,2,2,0,50,2,3,0,1,0,3,0,0,0,0,0,0,0,0,2023-2024
801,Hugo Ekitike,France,FW,Eint Frankfurt,Bundesliga,21,2002,14,716,4,2,6,4,0,2.4,2.4,16,9,0.5,0.25,11,7,66.7,0,10,2,4,0,0,0,0,0,0,0,0,131,193,67.9,348,70,77.6,84.6,12,13,3,2,39,46.2,48.7,16,9,9,13,4,30,30,1.13,0.13,0.44,34.1,3.52,0.5,0,2023-2024
808,Elif Elmas,North Macedonia,MF,RB Leipzig,Bundesliga,23,1999,14,266,0,0,0,0,0,0.8,0.8,9,9,0,0,8,6,75,0,5,1,2,0,0,0,0,0,0,0,0,100,120,83.3,291,90.4,93.5,20,2,6,2,1,10,50,30,9,7,4,6,0,10,40,1.35,0,0,0,2.36,0.34,0,2023-2024
811,Nico Elvedi,Switzerland,DF,Gladbach,Bundesliga,26,1996,30,2482,2,1,3,2,0,1.6,1.6,37,109,0.07,0.04,33,18,75,25,15,43,150,2,0,0,0,0,0,0,0,1500,1690,88.8,8034,90.6,93.9,58.1,3,74,4,289,9,66.7,11.1,37,19,0,4,2,18,33.3,0.22,0.11,0.33,61,0.8,0.11,0,2023-2024
819,Arne Engels,Belgium,MF,Augsburg,Bundesliga,19,2003,32,1405,3,2,5,3,0,1.8,1.8,23,52,0.19,0.13,33,18,41.4,1,22,15,21,0,0,0,0,0,0,0,0,394,587,67.1,2583,80.3,76.2,44.2,19,35,17,25,11,54.5,45.5,23,18,4,7,3,20,35,0.45,0.15,0.43,38.7,2.56,0.51,0,2023-2024
856,Ohis Felix Uduokhai,Germany,DF,Augsburg,Bundesliga,25,1997,33,2921,2,0,2,2,0,1.4,1.4,25,101,0.06,0,37,21,64,35,10,46,178,2,0,0,0,0,0,0,0,1349,1658,81.4,9681,86.9,89,50.6,9,93,5,299,7,85.7,14.3,25,11,1,7,2,13,23.1,0.09,0.15,0.67,62,0.62,0,0,2023-2024
861,Edimilson Fernandes,Switzerland,DF,Mainz 05,Bundesliga,27,1996,21,1290,0,2,2,0,0,0.5,0.5,9,53,0,0.14,25,16,66.7,6,8,22,52,0,0,0,0,0,0,0,0,615,801,76.8,5042,88.4,88.1,49,18,54,11,98,8,75,25,9,12,1,5,0,15,0,0,0,0,50,2.44,0.14,0,2023-2024
875,Nacho Ferri,Spain,FW,Eint Frankfurt,Bundesliga,18,2004,8,74,1,0,1,1,0,1.2,1.2,0,2,1.22,0,3,3,66.7,0,0,0,2,0,0,0,0,0,0,0,0,13,26,50,46,78.6,25,0,1,2,0,2,1,0,100,0,0,0,2,1,5,40,2.43,0.2,0.5,50,2.43,1.22,0,2023-2024
878,Max Finkgräfe,Germany,DF,Köln,Bundesliga,19,2004,24,1756,1,0,1,1,0,1,1,51,53,0.05,0,65,39,52.7,10,25,22,39,0,0,0,0,0,0,0,0,598,859,69.6,4077,81.7,76.1,38.1,23,46,12,53,58,62.1,36.2,51,35,11,24,1,12,33.3,0.21,0.08,0.25,46,2.05,0.05,0,2023-2024
880,Kilian Fischer,Germany,DF,Wolfsburg,Bundesliga,22,2000,6,291,0,0,0,0,0,0.1,0.1,6,6,0,0,8,6,40,1,7,1,12,0,0,0,0,0,0,0,0,104,148,70.3,588,86.2,71.2,37.5,2,5,3,9,2,50,50,6,3,1,1,0,4,0,0,0,0,0,1.85,0,0,2023-2024
